ds,y,original_y
2023-06-20,1.0,
2023-06-21,1368.0220351722735,0.0
2023-06-22,1371.540528939889,0.0
2023-06-23,1499.0,
2023-06-24,3692.0,
2023-06-25,4421.0,
2023-06-26,3606.0,
2023-06-27,3463.0,
2023-06-28,3368.0,
2023-06-29,4211.0,
2023-06-30,4525.0,
2023-07-01,5957.0,
2023-07-02,7172.0,
2023-07-03,6439.0,
2023-07-04,7426.0,
2023-07-05,6270.0,
2023-07-06,4040.0,
2023-07-07,3376.0,
2023-07-08,3945.0,
2023-07-09,4925.0,
2023-07-10,4008.0,
2023-07-11,3960.0,
2023-07-12,3722.0,
2023-07-13,3319.0,
2023-07-14,3108.0,
2023-07-15,3410.0,
2023-07-16,4811.0,
2023-07-17,3864.0,
2023-07-18,3799.0,
2023-07-19,3626.0,
2023-07-20,3231.0,
2023-07-21,3212.0,
2023-07-22,3523.0,
2023-07-23,4462.0,
2023-07-24,3814.0,
2023-07-25,3287.0,
2023-07-26,3059.0,
2023-07-27,3067.0,
2023-07-28,3256.0,
2023-07-29,4258.0,
2023-07-30,5016.0,
2023-07-31,4031.0,
2023-08-01,3586.0,
2023-08-02,3012.0,
2023-08-03,3238.0,
2023-08-04,3058.0,
2023-08-05,3534.0,
2023-08-06,4516.0,
2023-08-07,3372.0,
2023-08-08,3013.0,
2023-08-09,2759.0,
2023-08-10,2863.0,
2023-08-11,3273.0,
2023-08-12,3156.0,
2023-08-13,4414.0,
2023-08-14,3421.0,
2023-08-15,2923.0,
2023-08-16,2801.0,
2023-08-17,2811.0,
2023-08-18,4017.0,
2023-08-19,5438.0,
2023-08-20,6937.0,
2023-08-21,4365.0,
2023-08-22,2895.0,
2023-08-23,3051.0,
2023-08-24,2753.0,
2023-08-25,2809.0,
2023-08-26,3372.0,
2023-08-27,4551.0,
2023-08-28,3970.0,
2023-08-29,2785.0,
2023-08-30,2980.0,
2023-08-31,4037.0,
2023-09-01,4080.0,
2023-09-02,5597.0,
2023-09-03,6535.0,
2023-09-04,6833.0,
2023-09-05,5413.0,
2023-09-06,2849.0,
2023-09-07,5773.449706763078,2257.0
2023-09-08,6234.478904873947,1665.0
2023-09-09,7623.204884184305,2383.0
2023-09-10,9401.367634265876,2928.0
2023-09-11,8200.752023380359,2590.0
2023-09-12,7706.488638724392,2057.0
2023-09-13,7779.152520077444,2022.0
2023-09-14,8362.569594893639,1969.0
2023-09-15,8915.624220903086,1958.0
2023-09-16,10562.666443449512,2415.0
2023-09-17,12639.272120730731,2809.0
2023-09-18,11240.637241992192,2305.0
2023-09-19,10660.660959723597,1865.0
2023-09-20,10746.094811673098,1757.0
2023-09-21,1146.0,
